PE_L1_1 PE_L1_2 PE_L1_3 PE_L1_4 PE_L1_5 PE_L1_6 PE_L1_7 PE_L1_8 PE_L1_9 PE_L2_1 PE_L2_2 PE_L2_3 PE_L2_4 PE_L2_5 PE_L2_6 PE_L2_7 PE_L2_8 PE_L2_9 PE_L3_1 PE_L3_2 PE_L3_3 PE_L3_4 PE_L3_5 PE_L3_6 PE_L3_7 PE_L3_8 PE_L3_9 
38 0 0 28 54 0 32 45 0 0 0 0 24 28 0 0 20 0 0 0 0 51 0 0 0 26 94 
38 0 0 28 54 0 32 45 0 0 0 0 24 28 0 0 20 0 0 0 0 51 0 0 0 26 94 
38 0 0 28 54 0 32 45 0 0 0 0 24 28 0 0 20 0 0 0 0 51 0 0 0 26 94 
38 0 0 28 54 0 32 45 0 0 0 0 24 28 0 0 20 0 0 0 0 51 0 0 0 26 94 
38 0 0 28 54 0 32 45 0 0 0 0 24 28 0 0 20 0 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 32 45 0 0 0 0 24 28 0 0 20 64 0 0 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 26 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 45 0 0 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
38 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 31 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 28 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 0 34 0 51 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 94 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 28 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 34 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 24 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 81 
